Date,competition,home_team,home_goals,home_points,away_team,away_goals,away_points,total_home_score,total_away_score
5/14/22,Munster GAA Football Senior Championship,Tipperary,0,10,Limerick,2,10,10,16
5/15/22,Leinster GAA Football Senior Championship,Kildare,1,21,Westmeath,2,15,24,21
5/15/22,Leinster GAA Football Senior Championship,Dublin,1,27,Meath,1,14,30,17
5/15/22,Ulster GAA Football Senior Championship,Derry,3,12,Monaghan,0,17,21,17
5/21/22,Tailteann Cup,Wicklow,3,16,Waterford,1,10,25,13
5/22/22,Tailteann Cup,Wexford,2,13,Offaly,3,11,19,20
5/28/22,Leinster GAA Football Senior Championship,Dublin,5,17,Kildare,1,15,32,18
5/28/22,Munster GAA Football Senior Championship,Kerry,1,28,Limerick,0,8,31,8
5/28/22,Tailteann Cup,Cavan,0,24,Down,1,12,24,15
5/28/22,Tailteann Cup,Leitrim,2,14,Antrim,1,12,20,15
5/28/22,Tailteann Cup,Longford,0,12,Fermanagh,1,12,12,15
5/28/22,Tailteann Cup,Sligo,3,15,London,2,16,24,22
5/29/22,Connacht GAA Football Senior Championship,Galway,2,19,Roscommon,2,16,25,22
5/29/22,Ulster GAA Football Senior Championship,Derry,1,16,Donegal,1,14,19,17
5/29/22,Tailteann Cup,Laois,0,13,Westmeath,1,13,13,16
5/29/22,Tailteann Cup,Offaly,0,18,Wicklow,0,10,18,10
5/29/22,Tailteann Cup,Carlow,1,12,Tipperary,1,10,15,13
6/4/22,GAA Football All-Ireland Senior Championship,Cork,2,12,Louth,2,8,18,14
6/4/22,GAA Football All-Ireland Senior Championship,Mayo,1,13,Monaghan,0,12,16,12
6/4/22,GAA Football All-Ireland Senior Championship,Clare,1,11,Meath,1,9,14,12
6/4/22,Tailteann Cup,Offaly,3,17,New_york,0,11,26,11
6/5/22,GAA Football All-Ireland Senior Championship,Armagh,1,16,Tyrone,1,10,19,13
6/5/22,Tailteann Cup,Carlow,2,13,Westmeath,1,21,19,24
6/5/22,Tailteann Cup,Leitrim,2,16,Sligo,1,19,22,22
6/5/22,Tailteann Cup,Fermanagh,0,13,Cavan,2,16,13,22
6/11/22,GAA Football All-Ireland Senior Championship,Clare,2,15,Roscommon,1,17,21,20
6/11/22,GAA Football All-Ireland Senior Championship,Mayo,2,13,Kildare,0,14,19,14
6/12/22,GAA Football All-Ireland Senior Championship,Cork,2,18,Limerick,1,16,24,19
6/12/22,GAA Football All-Ireland Senior Championship,Armagh,3,17,Donegal,0,16,26,16
6/19/22,Tailteann Cup,Sligo,1,14,Cavan,0,20,17,20
6/19/22,Tailteann Cup,Westmeath,3,22,Offaly,2,16,31,22
6/25/22,GAA Football All-Ireland Senior Championship,Derry,5,13,Clare,2,8,28,14
6/25/22,GAA Football All-Ireland Senior Championship,Dublin,0,21,Cork,0,10,21,10
6/26/22,GAA Football All-Ireland Senior Championship,Galway,2,21,Armagh,3,18,27,27
6/26/22,GAA Football All-Ireland Senior Championship,Kerry,1,18,Mayo,0,13,21,13
7/9/22,GAA Football All-Ireland Senior Championship,Galway,2,8,Derry,1,6,14,9
7/9/22,Tailteann Cup,Cavan,1,13,Westmeath,2,14,16,20
7/10/22,GAA Football All-Ireland Senior Championship,Dublin,1,13,Kerry,1,14,16,17
7/24/22,GAA Football All-Ireland Senior Championship,Kerry,0,20,Galway,0,16,20,16
1/28/23,Allianz Football League Roinn 1,Monaghan,1,12,Armagh,1,14,15,17
1/28/23,Allianz Football League Roinn 1,Mayo,1,11,Galway,2,8,14,14
1/28/23,Allianz Football League Roinn 2,Derry,0,16,Limerick,0,4,16,4
1/28/23,Allianz Football League Roinn 2,Dublin,1,11,Kildare,0,13,14,13
1/28/23,Allianz Football League Roinn 3,Fermanagh,0,15,Longford,0,8,15,8
1/28/23,Allianz Football League Roinn 3,Tipperary,1,11,Down,2,11,14,17
1/28/23,Allianz Football League Roinn 4,Wexford,1,9,London,1,9,12,12
1/28/23,Allianz Football League Roinn 4,Carlow,2,10,Wicklow,2,10,16,16
1/29/23,Allianz Football League Roinn 1,Roscommon,3,11,Tyrone,1,12,20,15
1/29/23,Allianz Football League Roinn 1,Donegal,0,13,Kerry,1,9,13,12
1/29/23,Allianz Football League Roinn 2,Cork,0,19,Meath,3,14,19,23
1/29/23,Allianz Football League Roinn 2,Clare,0,13,Louth,1,9,13,12
1/29/23,Allianz Football League Roinn 3,Antrim,0,12,Offaly,2,12,12,18
1/29/23,Allianz Football League Roinn 3,Westmeath,1,6,Cavan,0,12,9,12
1/29/23,Allianz Football League Roinn 4,Leitrim,3,18,Waterford,0,11,27,11
1/29/23,Allianz Football League Roinn 4,Sligo,0,11,Laois,2,11,11,17
2/4/23,Allianz Football League Roinn 3,Down,2,18,Antrim,2,17,24,23
2/4/23,Allianz Football League Roinn 4,Waterford,0,10,Carlow,1,11,10,14
2/5/23,Allianz Football League Roinn 1,Kerry,3,16,Monaghan,0,14,25,14
2/5/23,Allianz Football League Roinn 1,Galway,0,8,Roscommon,0,9,8,9
2/5/23,Allianz Football League Roinn 1,Tyrone,0,16,Donegal,0,8,16,8
2/5/23,Allianz Football League Roinn 1,Armagh,0,17,Mayo,0,17,17,17
2/5/23,Allianz Football League Roinn 2,Meath,4,8,Clare,0,16,20,16
2/5/23,Allianz Football League Roinn 2,Kildare,0,7,Cork,2,14,7,20
2/5/23,Allianz Football League Roinn 2,Louth,1,11,Derry,2,11,14,17
2/5/23,Allianz Football League Roinn 2,Limerick,1,11,Dublin,2,17,14,23
2/5/23,Allianz Football League Roinn 3,Cavan,1,19,Tipperary,1,7,22,10
2/5/23,Allianz Football League Roinn 3,Longford,0,9,Westmeath,4,16,9,28
2/5/23,Allianz Football League Roinn 3,Offaly,1,9,Fermanagh,1,8,12,11
2/5/23,Allianz Football League Roinn 4,London,1,15,Leitrim,3,12,18,21
2/5/23,Allianz Football League Roinn 4,Wicklow,0,12,Sligo,0,18,12,18
2/5/23,Allianz Football League Roinn 4,Laois,1,18,Wexford,1,13,21,16
2/18/23,Allianz Football League Roinn 1,Mayo,2,14,Kerry,1,10,20,13
2/18/23,Allianz Football League Roinn 2,Derry,2,15,Meath,1,7,21,10
2/18/23,Allianz Football League Roinn 3,Tipperary,0,14,Antrim,1,19,14,22
2/18/23,Allianz Football League Roinn 4,Wicklow,1,16,London,1,9,19,12
2/19/23,Allianz Football League Roinn 1,Galway,0,16,Tyrone,0,13,16,13
2/19/23,Allianz Football League Roinn 1,Roscommon,1,12,Armagh,0,12,15,12
2/19/23,Allianz Football League Roinn 1,Monaghan,1,20,Donegal,0,15,23,15
2/19/23,Allianz Football League Roinn 2,Clare,0,15,Kildare,0,16,15,16
2/19/23,Allianz Football League Roinn 2,Louth,1,15,Limerick,1,13,18,16
2/19/23,Allianz Football League Roinn 2,Cork,2,10,Dublin,0,18,16,18
2/19/23,Allianz Football League Roinn 3,Fermanagh,2,14,Down,3,10,20,19
